WP, 21, 2009100512,   , XRQA,   0,  76N, 1527E,  15,    0, DB
WP, 21, 2009100518,   , XRQA,   0,  81N, 1523E,  15,    0, DB
WP, 21, 2009100600,   , XRQA,   0,  85N, 1518E,  15,    0, DB
WP, 21, 2009100606,   , XRQA,   0,  91N, 1514E,  20,    0, DB
WP, 21, 2009100612,   , XRQA,   0,  97N, 1509E,  20,    0, DB
WP, 21, 2009100618,   , XRQA,   0, 102N, 1503E,  20,    0, DB
WP, 21, 2009100700,   , XRQA,   0, 108N, 1495E,  25,    0, TD
WP, 21, 2009100706,   , XRQA,   0, 116N, 1483E,  25,    0, TD
WP, 21, 2009100712,   , XRQA,   0, 128N, 1471E,  30,    0, TD
WP, 21, 2009100718,   , XRQA,   0, 139N, 1462E,  30,    0, TD
WP, 21, 2009100800,   , XRQA,   0, 147N, 1449E,  35,    0, TS
WP, 21, 2009100806,   , XRQA,   0, 158N, 1438E,  30,    0, TD
WP, 21, 2009100812,   , XRQA,   0, 168N, 1435E,  40,    0, TS
WP, 21, 2009100818,   , XRQA,   0, 177N, 1432E,  35,    0, TS
WP, 21, 2009100900,   , XRQA,   0, 185N, 1429E,  45,    0, TS
WP, 21, 2009100906,   , XRQA,   0, 194N, 1426E,  55,    0, TS
WP, 21, 2009100912,   , XRQA,   0, 200N, 1424E,  55,    0, TS
WP, 21, 2009100918,   , XRQA,   0, 204N, 1422E,  60,    0, TS
WP, 21, 2009101000,   , XRQA,   0, 208N, 1421E,  50,    0, TS
WP, 21, 2009101006,   , XRQA,   0, 213N, 1419E,  55,    0, TS
WP, 21, 2009101012,   , XRQA,   0, 218N, 1418E,  65,    0, TY
WP, 21, 2009101018,   , XRQA,   0, 221N, 1420E,  70,    0, TY
WP, 21, 2009101100,   , XRQA,   0, 223N, 1423E,  70,    0, TY
WP, 21, 2009101106,   , XRQA,   0, 226N, 1426E,  55,    0, TS
WP, 21, 2009101112,   , XRQA,   0, 229N, 1432E,  60,    0, TS
WP, 21, 2009101118,   , XRQA,   0, 232N, 1438E,  50,    0, TS
WP, 21, 2009101200,   , XRQA,   0, 235N, 1444E,  50,    0, TS
WP, 21, 2009101206,   , XRQA,   0, 243N, 1452E,  45,    0, TS
WP, 21, 2009101212,   , XRQA,   0, 255N, 1464E,  55,    0, TS
WP, 21, 2009101218,   , XRQA,   0, 269N, 1479E,  60,    0, TS
WP, 21, 2009101300,   , XRQA,   0, 286N, 1502E,  65,    0, TY
WP, 21, 2009101306,   , XRQA,   0, 304N, 1528E,  55,    0, TS
WP, 21, 2009101312,   , XRQA,   0, 314N, 1552E,  45,    0, SS
WP, 21, 2009101318,   , XRQA,   0, 326N, 1576E,  40,    0, SS
WP, 21, 2009101400,   , XRQA,   0, 340N, 1600E,  35,    0, SS
WP, 21, 2009101406,   , XRQA,   0, 354N, 1631E,  35,    0, SS
WP, 21, 2009101412,   , XRQA,   0, 364N, 1661E,  35,    0, EX
WP, 21, 2009101418,   , XRQA,   0, 375N, 1692E,  35,    0, EX
WP, 21, 2009101500,   , XRQA,   0, 385N, 1722E,  45,    0, EX
WP, 21, 2009101506,   , XRQA,   0, 392N, 1752E,  45,    0, EX
WP, 21, 2009101512,   , XRQA,   0, 400N, 1781E,  45,    0, EX
WP, 21, 2009101518,   , XRQA,   0, 411N, 1787W,  45,    0, EX
