WP, 21, 1982090900,   , XRQA,   0,  93N, 1778W,  25,    0, TD
WP, 21, 1982090906,   , XRQA,   0, 101N, 1787W,  25,    0, TD
WP, 21, 1982090912,   , XRQA,   0, 108N, 1794W,  25,    0, TD
WP, 21, 1982090918,   , XRQA,   0, 115N, 1799E,  25,    0, TD
WP, 21, 1982091000,   , XRQA,   0, 121N, 1794E,  25,    0, TD
WP, 21, 1982091006,   , XRQA,   0, 125N, 1788E,  30,    0, TD
WP, 21, 1982091012,   , XRQA,   0, 128N, 1782E,  30,    0, TD
WP, 21, 1982091018,   , XRQA,   0, 130N, 1778E,  30,    0, TD
WP, 21, 1982091100,   , XRQA,   0, 131N, 1775E,  30,    0, TD
WP, 21, 1982091106,   , XRQA,   0, 133N, 1772E,  30,    0, TD
WP, 21, 1982091112,   , XRQA,   0, 135N, 1767E,  30,    0, TD
WP, 21, 1982091118,   , XRQA,   0, 138N, 1761E,  35,    0, TS
WP, 21, 1982091200,   , XRQA,   0, 142N, 1756E,  30,    0, TD
WP, 21, 1982091206,   , XRQA,   0, 149N, 1751E,  30,    0, TD
WP, 21, 1982091212,   , XRQA,   0, 157N, 1746E,  45,    0, TS
WP, 21, 1982091218,   , XRQA,   0, 167N, 1742E,  35,    0, TS
WP, 21, 1982091300,   , XRQA,   0, 178N, 1737E,  30,    0, TD
WP, 21, 1982091306,   , XRQA,   0, 187N, 1732E,  30,    0, TD
WP, 21, 1982091312,   , XRQA,   0, 194N, 1726E,  40,    0, TS
WP, 21, 1982091318,   , XRQA,   0, 201N, 1719E,  35,    0, TS
WP, 21, 1982091400,   , XRQA,   0, 206N, 1710E,  30,    0, TD
WP, 21, 1982091406,   , XRQA,   0, 210N, 1701E,  30,    0, TD
WP, 21, 1982091412,   , XRQA,   0, 214N, 1691E,  35,    0, TS
WP, 21, 1982091418,   , XRQA,   0, 220N, 1681E,  45,    0, TS
WP, 21, 1982091500,   , XRQA,   0, 227N, 1669E,  40,    0, TS
WP, 21, 1982091506,   , XRQA,   0, 235N, 1659E,  50,    0, TS
WP, 21, 1982091512,   , XRQA,   0, 241N, 1647E,  50,    0, TS
WP, 21, 1982091518,   , XRQA,   0, 246N, 1636E,  50,    0, TS
WP, 21, 1982091600,   , XRQA,   0, 252N, 1624E,  45,    0, TS
WP, 21, 1982091606,   , XRQA,   0, 257N, 1613E,  45,    0, TS
WP, 21, 1982091612,   , XRQA,   0, 264N, 1603E,  50,    0, TS
WP, 21, 1982091618,   , XRQA,   0, 271N, 1594E,  50,    0, TS
WP, 21, 1982091700,   , XRQA,   0, 278N, 1591E,  50,    0, TS
WP, 21, 1982091706,   , XRQA,   0, 288N, 1591E,  55,    0, TS
WP, 21, 1982091712,   , XRQA,   0, 299N, 1593E,  55,    0, TS
WP, 21, 1982091718,   , XRQA,   0, 311N, 1600E,  60,    0, TS
WP, 21, 1982091800,   , XRQA,   0, 323N, 1612E,  60,    0, TS
WP, 21, 1982091806,   , XRQA,   0, 334N, 1634E,  55,    0, TS
WP, 21, 1982091812,   , XRQA,   0, 344N, 1664E,  55,    0, TS
WP, 21, 1982091818,   , XRQA,   0, 357N, 1700E,  50,    0, TS
WP, 21, 1982091900,   , XRQA,   0, 369N, 1738E,  45,    0, TS
WP, 21, 1982091906,   , XRQA,   0, 384N, 1773E,  40,    0, TS
WP, 21, 1982091912,   , XRQA,   0, 396N, 1786W,  45,    0, EX
WP, 21, 1982091918,   , XRQA,   0, 408N, 1740W,  45,    0, EX
WP, 21, 1982092000,   , XRQA,   0, 428N, 1701W,  45,    0, EX
WP, 21, 1982092006,   , XRQA,   0, 448N, 1673W,  45,    0, EX
WP, 21, 1982092012,   , XRQA,   0, 469N, 1649W,  45,    0, EX
