WP, 02, 2014012900,   , XRQA,   0,  97N, 1431E,  25,    0, TD
WP, 02, 2014012906,   , XRQA,   0,  96N, 1418E,  25,    0, TD
WP, 02, 2014012912,   , XRQA,   0,  92N, 1407E,  25,    0, TD
WP, 02, 2014012918,   , XRQA,   0,  86N, 1394E,  25,    0, TD
WP, 02, 2014013000,   , XRQA,   0,  84N, 1379E,  30,    0, TD
WP, 02, 2014013006,   , XRQA,   0,  86N, 1363E,  30,    0, TD
WP, 02, 2014013012,   , XRQA,   0,  86N, 1345E,  30,    0, TD
WP, 02, 2014013018,   , XRQA,   0,  90N, 1328E,  30,    0, TD
WP, 02, 2014013100,   , XRQA,   0,  97N, 1303E,  45,    0, TS
WP, 02, 2014013106,   , XRQA,   0, 100N, 1280E,  50,    0, TS
WP, 02, 2014013112,   , XRQA,   0, 104N, 1262E,  50,    0, TS
WP, 02, 2014013118,   , XRQA,   0, 109N, 1242E,  45,    0, TS
WP, 02, 2014020100,   , XRQA,   0, 112N, 1222E,  40,    0, TS
WP, 02, 2014020106,   , XRQA,   0, 113N, 1202E,  35,    0, TS
WP, 02, 2014020112,   , XRQA,   0, 111N, 1181E,  30,    0, TD
WP, 02, 2014020118,   , XRQA,   0, 109N, 1171E,  30,    0, TD
